Product,Category,Ingredients
,,
"ATTITUDE Toothpaste, Fluoride Free, Sensitive Rating",Toothpaste,potassium nitrate 5%  Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  gaultheria procumbens (wintergreen / th des bois) leaf oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  potassium sorbate  sodium chloride  D-limonene
"Davids Premium Natural Toothpaste, Natural Peppermint Rating",Tooth Whitening,calcium carbonate (limestone abrasive)  purified water  sodium bicarbonate (baking soda)  vegetable glycerin  hydraded silica  xylitol (birch derived)  sodium cocoyl glutamate (coconut derived)  carrageenan (seaweed derived)  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia
Pipette Hand Sanitizer Rating,Hand Sanitizer,Active ingredient: Alcohol 65%  Water  Glycerin  Squalane  Acrylates Copolymer  Sodium Hydroxide
"ATTITUDE Toothpaste for Kids, Fluoride Free, Mango Rating",Toothpaste,Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  potassium sorbate  sodium chloride  caprylic / capric triglyceride*  vanillin*  3-hexenol*  hexyl hexanoate*  hexenyl acetate*  gamma-decalactone*  hexyl acetate*
"ATTITUDE Hand Soap, Vanilla Caramel Rating",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Linalyl Acetate  Methyldihydrojasmonate  Pentadecalactone  Triethyl Citrate  Vanillin
"ATTITUDE Super Leaves Natural Hand Soap, Lemon Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  citrus limon (lemon / citron) leaf extract  sodium benzoate  potassium sorbate  3-hexenol (green leaves)  methyldihydrojasmonate (jasmin)  dimethyl heptenal (fruit).
"ATTITUDE Toothpaste, Complete Care Rating",Toothpaste,Active ingredient: sodium fluoride 0.243%  sorbitol  aqua  glycerin  hydrated silica  sodium lauryl sulfate  gaultheria procumbens (wintergreen) leaf oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya leaf extract  camellia sinensis (green tea) leaf extract  sodium bicarbonate  titanium dioxide  potassium sorbate  hydroxyapatite  D-limonene
"Davids Premium Natural Toothpaste, Peppermint + Charcoal Rating",Tooth Whitening,calcium carbonate (limestone abrasive)  purified water  sodium bicarbonate (baking soda)  vegetable glycerin  hydrated silica  xylitol (birch derived)  cocos nucifera (coconut) oil  activated charcoal  carrageenan (seaweed extract)  sodium cocoyl glutamate  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia (leaf extract)
"Purelygreat Cream Deodorant, Lavender Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin Essential oils: citrus paradisi  citrus sinensis  pelargonium graveolens  cupressus sempervirens  lavendula angustifolia  coriandrum sativum
